게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
Crusader Kings III: Khans of the Steppe,Steam,https://image.directg.net/upload/product/goods_1745543556_simg.jpg,"\22,000",15%,"\18,700",전략,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005382
V Rising - Eternal Dominance Pack,Steam,https://image.directg.net/upload/product/goods_1747191639_simg.jpg,"\18,900",32%,"\12,800",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005417
Days Gone - Broken Road DLC,Steam,https://image.directg.net/upload/product/goods_1745543120_simg.jpg,"\14,000",7%,"\13,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005383
Clair Obscur: Expedition 33,Steam,https://image.directg.net/upload/product/goods_1744875626_simg.jpg,"\54,800",7%,"\50,800",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005370
Clair Obscur: Expedition 33 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1744709086_simg.jpg,"\65,700",7%,"\60,800",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005371
DJMAX RESPECT V - Blue Archive PACK,Steam,https://image.directg.net/upload/product/goods_1745471592_simg.jpg,"\19,800",33%,"\13,200",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005380
Once Upon a Puppet,Steam,https://image.directg.net/upload/product/goods_1745894093_simg.jpg,"\27,000",11%,"\24,000",퍼즐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005398
Beholder: Conductor,Steam,https://image.directg.net/upload/product/goods_1745472128_simg.jpg,"\15,500",11%,"\13,800",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005381
The Elder Scrolls IV: Oblivion Remastered,Steam,https://image.directg.net/upload/product/goods_1748394478_simg.jpg,"\55,900",13%,"\48,800",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005442
The Elder Scrolls IV: Oblivion Remastered - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1748394752_simg.jpg,"\69,000",13%,"\59,800",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005443
The Elder Scrolls IV: Oblivion Remastered - Deluxe Upgrade,Steam,https://image.directg.net/upload/product/goods_1748394998_simg.jpg,"\13,100",8%,"\12,100",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005444
Steel Seed,Steam,https://image.directg.net/upload/product/goods_1745284992_simg.jpg,"\42,000",5%,"\39,800",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005374
Steel Seed Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1745370249_simg.jpg,"\47,000",6%,"\44,000",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005377
Ambulance Life - Bay Side Expansion,Steam,https://image.directg.net/upload/product/goods_1745396436_simg.jpg,"\16,500",10%,"\14,800",시뮬레이션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005378
LUNAR Remastered Collection,Steam,https://image.directg.net/upload/product/goods_1743993858_simg.jpg,"\69,000",할인 없음,"\69,000",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005354
Shikhondo: Youkai Rampage,Steam,https://image.directg.net/upload/product/goods_1745199187_simg.jpg,"\15,000",할인 없음,"\15,000",캐주얼,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005373
GORN 2,Steam,https://image.directg.net/upload/product/goods_1745198053_simg.jpg,"\21,500",8%,"\19,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005372
Synergy,Steam,https://image.directg.net/upload/product/goods_1744850821_simg.jpg,"\31,500",5%,"\29,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004730
Synergy - Supporter Edition,Steam,https://image.directg.net/upload/product/goods_1716341182_simg.jpg,"\37,300",7%,"\34,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004741
Night is Coming,Steam,https://image.directg.net/upload/product/goods_1745287173_simg.jpg,"\27,000",11%,"\24,000",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005375
The Talos Principle: Reawakened,Steam,https://image.directg.net/upload/product/goods_1744261907_simg.jpg,"\42,000",10%,"\37,800",퍼즐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005366
SNOW BROS. 2 SPECIAL,Steam,https://image.directg.net/upload/product/goods_1742519919_simg.jpg,"\44,800",2%,"\43,800",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005329
Commandos: Origins,Steam,https://image.directg.net/upload/product/goods_1742782252_simg.jpg,"\59,000",12%,"\52,000",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005330
Commandos: Origins - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1742782469_simg.jpg,"\70,800",12%,"\62,000",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005331
Dave the Diver: Ichiban’s Holiday Content Pack,Steam,https://image.directg.net/upload/product/goods_1747624398_simg.jpg,"\7,800",10%,"\7,000",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005427
