게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
Dishonored: Death of the Outsider - Deluxe Bundle,Steam,https://image.directg.net/upload/product/goods_1730772685_simg.jpg,"\67,000",3%,"\65,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005032
BlazBlue Centralfiction - Additional Playable Character JUBEI,Steam,https://image.directg.net/upload/product/goods_1504848525_simg.jpg,"\7,900",할인 없음,"\7,900",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001472
Tyranny - Bastard's Wound,Steam,https://image.directg.net/upload/product/goods_1504664747_simg.jpg,"\17,000",9%,"\15,400",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001468
Sniper Ghost Warrior 3 - The Sabotage,Steam,https://image.directg.net/upload/product/goods_1505790857_simg.jpg,"\10,500",할인 없음,"\10,500",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001479
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,Steam,https://image.directg.net/upload/product/goods_1502163881_simg.jpg,"\16,000",할인 없음,"\16,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001433
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,Steam,https://image.directg.net/upload/product/goods_1502164276_simg.jpg,"\16,000",할인 없음,"\16,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001434
METAL SLUG 3,Steam,https://image.directg.net/upload/product/goods_1502168289_simg.jpg,"\8,500",할인 없음,"\8,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001436
METAL SLUG X,Steam,https://image.directg.net/upload/product/goods_1502169423_simg.jpg,"\8,500",할인 없음,"\8,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001437
XCOM 2: War of the Chosen,Steam,https://image.directg.net/upload/product/goods_1500261888_simg.jpg,"\45,000",8%,"\41,400",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001427
The Escapists 2 - Glorious Regime Prison,Steam,https://image.directg.net/upload/product/goods_1657526481_simg.jpg,"\4,400",5%,"\4,200",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003499
The Escapists 2,Steam,https://image.directg.net/upload/product/goods_1657186227_simg.jpg,"\21,000",6%,"\19,800",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003496
Cities: Skylines - Concerts,Steam,https://image.directg.net/upload/product/goods_1502881632_simg.jpg,"\8,000",10%,"\7,200",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001449
Sudden Strike Trilogy,Steam,https://image.directg.net/upload/product/goods_1502432927_simg.jpg,"\21,300",7%,"\19,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001443
Sudden Strike 4,Steam,https://image.directg.net/upload/product/goods_1501644624_simg.jpg,"\23,600",16%,"\19,800",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001431
Sudden Strike 4 - Battle of Kursk,Steam,https://image.directg.net/upload/product/goods_1610529385_simg.jpg,"\2,500",24%,"\1,900",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002475
Total War: WARHAMMER - Norsca,Steam,https://image.directg.net/upload/product/goods_1643099092_simg.jpg,"\10,400",10%,"\9,400",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003176
Shuyan Saga,Steam,https://image.directg.net/upload/product/goods_1697605654_simg.jpg,"\16,500",10%,"\14,800",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004423
Mega Man Legacy Collection 2,Steam,https://image.directg.net/upload/product/goods_1501561189_simg.jpg,"\19,000",11%,"\17,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001430
Mega Man Legacy Collection 1 & 2 Combo Pack,Steam,https://image.directg.net/upload/product/goods_1531216642_simg.jpg,"\27,300",7%,"\25,300",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001687
Shephy,Steam,https://image.directg.net/upload/product/goods_1616390261_simg.jpg,"\5,500",할인 없음,"\5,500",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50002584
Redeemer: Enhanced Edition,Steam,https://image.directg.net/upload/product/goods_1686193104_simg.jpg,"\11,000",10%,"\9,900",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004192
Last Day of June,Steam,https://image.directg.net/upload/product/goods_1504868597_simg.jpg,"\21,000",할인 없음,"\21,000",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001473
Sundered: Eldritch Edition,Steam,https://image.directg.net/upload/product/goods_1624847528_simg.jpg,"\21,500",8%,"\19,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002790
Sid Meier's Civilization VI: Nubia Civilization & Scenario Pack,Steam,https://image.directg.net/upload/product/goods_1502443362_simg.jpg,"\5,500",5%,"\5,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001445
The Darkside Detective,Steam,https://image.directg.net/upload/product/goods_1672365827_simg.jpg,"\16,500",12%,"\14,500",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003897
Fate/EXTELLA,Steam,https://image.directg.net/upload/product/goods_1713408247_simg.jpg,"\41,000",11%,"\36,300",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50004676
Vostok Inc.,Steam,https://image.directg.net/upload/product/goods_1703036646_simg.jpg,"\16,000",11%,"\14,300",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50004525
Torment: Tides of Numenera,Steam,https://image.directg.net/upload/product/goods_1499218816_simg.jpg,"\36,000",할인 없음,"\36,000",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001420
Torment: Tides of Numenera - Legacy Edition,Steam,https://image.directg.net/upload/product/goods_1499219673_simg.jpg,"\56,000",할인 없음,"\56,000",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001421
Torment: Tides of Numenera - Legacy Edition Upgrade,Steam,https://image.directg.net/upload/product/goods_1499220039_simg.jpg,"\20,500",할인 없음,"\20,500",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001422
How to Survive 2 - Kovac's Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1628573048_simg.png,"\23,800",8%,"\22,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002897
Quarantine,Steam,https://image.directg.net/upload/product/goods_1499250219_simg.jpg,"\10,500",할인 없음,"\10,500",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001423
Portal Knights,Steam,https://image.directg.net/upload/product/goods_1499321173_simg.jpg,"\21,000",6%,"\19,800",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001424
How to Survive 2,Steam,https://image.directg.net/upload/product/goods_1499324632_simg.jpg,"\16,000",할인 없음,"\16,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001426
ONECHANBARA Z2: CHAOS,Steam,https://image.directg.net/upload/product/goods_1498021588_simg.jpg,"\43,000",7%,"\39,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001408
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,Steam,https://image.directg.net/upload/product/goods_1498022791_simg.jpg,"\20,500",3%,"\19,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001409
The Surge,Steam,https://image.directg.net/upload/product/goods_1676258648_simg.jpg,"\17,800",할인 없음,"\17,800",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001378
Darkest Dungeon: The Crimson Court,Steam,https://image.directg.net/upload/product/goods_1616466001_simg.jpg,"\11,000",10%,"\9,900",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002586
Europa Universalis IV: Third Rome,Steam,https://image.directg.net/upload/product/goods_1496221922_simg.jpg,"\11,000",10%,"\9,900",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001400
Tyranny - Tales from the Tiers,Steam,https://image.directg.net/upload/product/goods_1497316477_simg.jpg,"\8,000",10%,"\7,200",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001404
Sniper Ghost Warrior 3 - Sniper Rifle McMillan TAC-338A,Steam,https://image.directg.net/upload/product/goods_1505791962_simg.jpg,"\1,100",할인 없음,"\1,100",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001480
Sniper Ghost Warrior 3 - All-terrain vehicle,Steam,https://image.directg.net/upload/product/goods_1505869032_simg.jpg,"\1,100",할인 없음,"\1,100",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001482
Sniper Ghost Warrior 3 - Compound Bow,Steam,https://image.directg.net/upload/product/goods_1505869291_simg.jpg,"\1,100",할인 없음,"\1,100",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001483
Sniper Ghost Warrior 3 - The Escape of Lydia,Steam,https://image.directg.net/upload/product/goods_1506484654_simg.jpg,"\5,500",할인 없음,"\5,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001491
Victor Vran Overkill Edition,Steam,https://image.directg.net/upload/product/goods_1495591657_simg.jpg,"\39,800",할인 없음,"\39,800",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001387
Victor Vran - Motorhead: Through the Ages,Steam,https://image.directg.net/upload/product/goods_1496120323_simg.jpg,"\11,900",할인 없음,"\11,900",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001388
Victor Vran - Fractured Worlds,Steam,https://image.directg.net/upload/product/goods_1496120529_simg.jpg,"\11,900",할인 없음,"\11,900",롤플레잉,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001389
GUILTY GEAR Xrd REV 2 Upgrade,Steam,https://image.directg.net/upload/product/goods_1496043394_simg.jpg,"\1,100",18%,\900,액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001392
Hover,Steam,https://image.directg.net/upload/product/goods_1496029360_simg.jpg,"\19,800",할인 없음,"\19,800",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001391
RiME,Steam,https://image.directg.net/upload/product/goods_1495423690_simg.jpg,"\29,800",할인 없음,"\29,800",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001384
SUPERHOT VR,Steam,https://image.directg.net/upload/product/goods_1627541753_simg.jpg,"\29,000",9%,"\26,400",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002891
Portal Knights - Bibot Box,Steam,https://image.directg.net/upload/product/goods_1503292914_simg.jpg,"\3,300",9%,"\3,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001457
Portal Knights - Lobot Box,Steam,https://image.directg.net/upload/product/goods_1503293237_simg.jpg,"\3,300",9%,"\3,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001458
Portal Knights - Emoji Box,Steam,https://image.directg.net/upload/product/goods_1503294444_simg.jpg,"\3,300",9%,"\3,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001459
Cities: Skylines - Mass Transit,Steam,https://image.directg.net/upload/product/goods_1494580732_simg.jpg,"\15,000",10%,"\13,500",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001379
Cities: Skylines - Rock City Radio,Steam,https://image.directg.net/upload/product/goods_1494832203_simg.jpg,"\4,500",9%,"\4,100",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001380
Euro Truck Simulator 2 - Heavy Cargo Pack,Steam,https://image.directg.net/upload/product/goods_1660876776_simg.jpg,"\6,000",2%,"\5,900",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003617
Birthdays the Beginning,Steam,https://image.directg.net/upload/product/goods_1494234918_simg.jpg,"\20,500",9%,"\18,700",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001367
Birthdays the Beginning Digital Limited Edition,Steam,https://image.directg.net/upload/product/goods_1664330911_simg.jpg,"\24,300",9%,"\22,000",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001371
Prey,Steam,https://image.directg.net/upload/product/goods_1731314523_simg.jpg,"\33,500",7%,"\31,000",슈팅/FPS,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005054
BlazBlue Centralfiction,Steam,https://image.directg.net/upload/product/goods_1492502394_simg.jpg,"\39,800",할인 없음,"\39,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001359
Sniper Ghost Warrior 3 Season Pass Edition,Steam,https://image.directg.net/upload/product/goods_1492052859_simg.jpg,"\31,000",할인 없음,"\31,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001354
Syberia 3 Standard Edition,Steam,https://image.directg.net/upload/product/goods_1491289686_simg.jpg,"\31,000",4%,"\29,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001342
Syberia 3 Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1491883600_simg.jpg,"\41,000",3%,"\39,800",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001352
The Disney Afternoon Collection,Steam,https://image.directg.net/upload/product/goods_1691030995_simg.jpg,"\19,000",5%,"\18,000",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004284
Yooka-Laylee,Steam,https://image.directg.net/upload/product/goods_1725430102_simg.jpg,"\24,500",10%,"\22,000",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004910
Yooka-Laylee Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1725430234_simg.jpg,"\32,000",11%,"\28,500",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004911
Stellaris: Utopia,Steam,https://image.directg.net/upload/product/goods_1491273735_simg.jpg,"\22,000",10%,"\19,800",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001339
Europa Universalis IV: Mandate of Heaven,Steam,https://image.directg.net/upload/product/goods_1491277122_simg.jpg,"\22,000",10%,"\19,800",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001340
Europa Universalis IV: Mandate of Heaven Content Pack,Steam,https://image.directg.net/upload/product/goods_1491283648_simg.jpg,"\9,000",9%,"\8,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001341
Europa Universalis IV: Ultimate E-book Pack,Steam,https://image.directg.net/upload/product/goods_1656483082_simg.jpg,"\5,600",11%,"\5,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003471
Tyranny - Portrait Pack,Steam,https://image.directg.net/upload/product/goods_1491212845_simg.jpg,"\4,500",9%,"\4,100",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001337
Europa Universalis IV: Ultimate Music Pack,Steam,https://image.directg.net/upload/product/goods_1656484406_simg.jpg,"\17,000",9%,"\15,400",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003472
Sid Meier's Civilization VI: Persia and Macedon Civilization & Scenario Pack,Steam,https://image.directg.net/upload/product/goods_1491556215_simg.jpg,"\8,500",6%,"\8,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001351
Rain World,Steam,https://image.directg.net/upload/product/goods_1672884262_simg.jpg,"\27,000",13%,"\23,500",어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50003903
Snake Pass,Steam,https://image.directg.net/upload/product/goods_1667982956_simg.jpg,"\21,000",2%,"\20,500",어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003820
Vikings - Wolves of Midgard Special Edition,Steam,https://image.directg.net/upload/product/goods_1489048238_simg.jpg,"\35,400",16%,"\29,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001327
SENRAN KAGURA ESTIVAL VERSUS,Steam,https://image.directg.net/upload/product/goods_1713407959_simg.jpg,"\31,000",11%,"\27,500",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50004675
CHAOS CODE -NEW SIGN OF CATASTROPHE-,Steam,https://image.directg.net/upload/product/goods_1491555832_simg.jpg,"\21,000",6%,"\19,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001325
Dead Rising 4 - Season Pass,Steam,https://image.directg.net/upload/product/goods_1488780822_simg.jpg,"\9,000",11%,"\8,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001321
ULTIMATE MARVEL VS CAPCOM 3,Steam,https://image.directg.net/upload/product/goods_1488768202_simg.jpg,"\24,000",8%,"\22,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001319
Crusader Kings II: Hymns of Revelation,Steam,https://image.directg.net/upload/product/goods_1488865453_simg.jpg,"\2,500",8%,"\2,300",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001322
Crusader Kings II: Monks and Mystics,Steam,https://image.directg.net/upload/product/goods_1488876865_simg.jpg,"\17,000",9%,"\15,400",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001323
Eraser & Builder,Steam,https://image.directg.net/upload/product/goods_1488250675_simg.jpg,"\2,200",할인 없음,"\2,200",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001316
Sid Meier's Civilization VI: Australia Civilization & Scenario Pack,Steam,https://image.directg.net/upload/product/goods_1488160778_simg.jpg,"\5,500",5%,"\5,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001315
Splasher,Steam,https://image.directg.net/upload/product/goods_1486436085_simg.jpg,"\16,000",11%,"\14,300",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001301
Splasher - Original Soundtrack,Steam,https://image.directg.net/upload/product/goods_1486604791_simg.jpg,"\3,900",할인 없음,"\3,900",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001303
Double Dragon IV,Steam,https://image.directg.net/upload/product/goods_1484906167_simg.jpg,"\8,000",할인 없음,"\8,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001291
Hearts of Iron IV: Sabaton Soundtrack Vol. 2,Steam,https://image.directg.net/upload/product/goods_1485152113_simg.jpg,"\7,000",11%,"\6,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001292
RESIDENT EVIL 7 Biohazard Gold Edition,Steam,https://image.directg.net/upload/product/goods_1638412232_simg.jpg,"\42,200",6%,"\39,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50002801
BIOHAZARD 7 resident evil,Steam,https://image.directg.net/upload/product/goods_1483939169_simg.jpg,"\23,800",할인 없음,"\23,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001267
BIOHAZARD 7 - Season Pass(Resident Evil),Steam,https://image.directg.net/upload/product/goods_1485160032_simg.jpg,"\29,000",9%,"\26,400",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001293
Urban Empire,Steam,https://image.directg.net/upload/product/goods_1484020361_simg.jpg,"\35,400",16%,"\29,800",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001270
Caladrius Blaze,Steam,https://image.directg.net/upload/product/goods_1503919123_simg.jpg,"\20,500",3%,"\19,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001263
Sid Meier's Civilization VI: Vikings Scenario Pack,Steam,https://image.directg.net/upload/product/goods_1482822209_simg.jpg,"\5,500",5%,"\5,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001264
Sid Meier's Civilization VI: Poland Civilization & Scenario Pack,Steam,https://image.directg.net/upload/product/goods_1482822603_simg.jpg,"\5,500",5%,"\5,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001265
ASTRONEER,Steam,https://image.directg.net/upload/product/goods_1732158891_simg.jpg,"\32,000",7%,"\29,800",액션/어드벤쳐,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005089
The Dwarves,Steam,https://image.directg.net/upload/product/goods_1480669175_simg.jpg,"\39,800",5%,"\37,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001234
Alone in the Dark Anthology,Steam,https://image.directg.net/upload/product/goods_1539228262_simg.jpg,"\16,000",할인 없음,"\16,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001742
GUILTY GEAR Xrd REV 2,Steam,https://image.directg.net/upload/product/goods_1665567584_simg.jpg,"\32,000",7%,"\29,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001393
GUILTY GEAR Xrd REV 2 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1665569394_simg.jpg,"\42,500",6%,"\39,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003714
Total War: WARHAMMER - Realm of The Wood Elves,Steam,https://image.directg.net/upload/product/goods_1643263744_simg.jpg,"\19,800",9%,"\18,000",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001226
Shadow Tactics: Blades of the Shogun,Steam,https://image.directg.net/upload/product/goods_1638846047_simg.jpg,"\45,000",9%,"\41,000",전략,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50003115
Euro Truck Simulator 2 - Vive la France !,Steam,https://image.directg.net/upload/product/goods_1660887551_simg.jpg,가격 정보 없음,할인 없음,가격 정보 없음,시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003623
Cities: Skylines - Natural Disasters,Steam,https://image.directg.net/upload/product/goods_1480299550_simg.jpg,"\17,000",9%,"\15,400",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001227
Cities: Skylines - Relaxation Station,Steam,https://image.directg.net/upload/product/goods_1480331669_simg.jpg,"\4,500",9%,"\4,100",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001228
Cities: Skylines - Content Creator Pack: High-Tech Buildings,Steam,https://image.directg.net/upload/product/goods_1480332171_simg.jpg,"\5,600",11%,"\5,000",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001229
Starry Nights: Helix,Steam,https://image.directg.net/upload/product/goods_1479976350_simg.jpg,"\4,400",할인 없음,"\4,400",액션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001225
Planet Coaster,Steam,https://image.directg.net/upload/product/goods_1677567385_simg.jpg,"\48,700",10%,"\44,000",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50004009
How To Survive 2 - Dead Dynamite,Steam,https://image.directg.net/upload/product/goods_1503036134_simg.jpg,"\4,400",할인 없음,"\4,400",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001450
Overcooked - The Lost Morsel,Steam,https://image.directg.net/upload/product/goods_1657530480_simg.jpg,"\5,500",5%,"\5,200",캐주얼,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50003490
Tyranny,Steam,https://image.directg.net/upload/product/goods_1542282127_simg.jpg,"\33,000",10%,"\29,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001175
Tyranny - Deluxe Edition Upgrade Pack,Steam,https://image.directg.net/upload/product/goods_1542283235_simg.jpg,"\17,000",9%,"\15,400",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001176
Tyranny - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1542283066_simg.jpg,"\44,000",10%,"\39,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001177
Dishonored 2,Steam,https://image.directg.net/upload/product/goods_1730772316_simg.jpg,"\33,500",1%,"\33,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005031
Beholder - Blissful Sleep,Steam,https://image.directg.net/upload/product/goods_1608539410_simg.jpg,"\6,700",12%,"\5,900",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002471
Beholder,Steam,https://image.directg.net/upload/product/goods_1592898608_simg.jpg,"\15,500",11%,"\13,800",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50002243
Moto Racer 4,Steam,https://image.directg.net/upload/product/goods_1477307540_simg.jpg,"\15,500",할인 없음,"\15,500",레이싱/스포츠,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001164
Moto Racer 4 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1477309257_simg.jpg,"\31,000",할인 없음,"\31,000",레이싱/스포츠,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001165
Super Dungeon Bros,Steam,https://image.directg.net/upload/product/goods_1477277889_simg.jpg,"\19,800",할인 없음,"\19,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001163
The Elder Scrolls V: Skyrim Special Edition,Steam,https://image.directg.net/upload/product/goods_1731568921_simg.jpg,"\45,000",5%,"\42,800",롤플레잉,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005069
Carnival Games VR,Steam,https://image.directg.net/upload/product/goods_1478780779_simg.jpg,"\24,500",5%,"\23,300",시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001180
How To Survive 2 - Pirates of the Bayou Skin Pack,Steam,https://image.directg.net/upload/product/goods_1503038192_simg.jpg,"\2,200",할인 없음,"\2,200",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001451
How To Survive 2 - Elite Soldier Skin Pack,Steam,https://image.directg.net/upload/product/goods_1503038417_simg.jpg,"\2,200",할인 없음,"\2,200",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001452
How To Survive 2 - Musketeer Skin Pack,Steam,https://image.directg.net/upload/product/goods_1503039616_simg.jpg,"\2,200",할인 없음,"\2,200",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001453
How To Survive 2 - Norse God Skin Pack,Steam,https://image.directg.net/upload/product/goods_1503040665_simg.jpg,"\2,200",할인 없음,"\2,200",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50001454
Dead by Daylight - The Halloween Chapter,Steam,https://image.directg.net/upload/product/goods_1753337134_simg.jpg,"\8,500",31%,"\5,900",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005609
Yomawari: Night Alone,Steam,https://image.directg.net/upload/product/goods_1665984265_simg.jpg,"\21,000",6%,"\19,800",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003724
Yomawari: Night Alone Digital Pitch Dark Edition,Steam,https://image.directg.net/upload/product/goods_1665984482_simg.jpg,"\23,000",9%,"\20,900",어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50003725
Sid Meier's Civilization VI,Steam,https://image.directg.net/upload/product/goods_1656389097_simg.jpg,"\65,000",6%,"\61,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=10001510
Sid Meier's Civilization VI,Epic Games,https://image.directg.net/upload/product/goods_1657084149_simg.jpg,"\65,000",6%,"\61,000",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50002315
Total War: WARHAMMER - The King and the Warlord,Steam,https://image.directg.net/upload/product/goods_1476439846_simg.jpg,"\9,300",8%,"\8,600",전략,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50001159
Stellaris: Leviathans Story Pack,Steam,https://image.directg.net/upload/product/goods_1476444142_simg.jpg,"\11,000",10%,"\9,900",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001161
WRC 6 FIA World Rally Championship,Steam,https://image.directg.net/upload/product/goods_1498210267_simg.jpg,"\15,500",20%,"\12,400",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50001410
INFERNO CLIMBER,Steam,https://image.directg.net/upload/product/goods_1476258669_simg.jpg,"\15,500",할인 없음,"\15,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50001154
